index,title,writer,views,comments_count,likes,comments,keyword
6965097,내가 생각하는 이론은 리플 스텔라,리플과 스텔라가 가격이 비슷하거나 동일해지고 나중에 트럼프정부에서 가상통화로 써주는거야,198,0,0,,트럼프
6964749,앞으로 불장때 내가들고있는 코인은 안오르는 이유,조금씩 뺴내니까 병신아ㅋㅋ 뭐 머스크 정도 급 되가지고 돈보다 명예가 더 중요하면 몰라 병신들 앞으로 트럼프 임기내에 비트 포함 개 불장인데 혼자만 찔끔찔금 거릴거다ㅋㅋㅋ,106,0,0,,트럼프
6964220,이번에 밈코인이고 ai코인이고 신경안써도됨,트럼프랑 머스크가 손잡고 코인밀어주는데 먼 메타를 따져 걍 사면 이득이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,96,0,0,,트럼프
6963867,파이파이,"트럼프 대통령 되고 디파이 시장 커진다는 얘기 나올 때부터 펜들 주목받을 줄 알았다. 
디파이랑 RWA 둘 다 묻어있는데, 거기다 헤시키, 스파르탄, 바낸랩스까지? 이 정도면 진짜 안 사면 호구다ㅋㅋ 
AI, 밈 끝물 오면 다음은 디파이 RWA라니까? 펜들은 이미 선두권인데 Boros로 레벨업까지 한다니까... 이건 뭐 말이 필요 없음. 진짜 인정?",79,0,0,,트럼프
6963749,트럼프 연관코인 목록,알려주실분,318,2,1,"https://in.mt/upbit
고맙",트럼프
6963657,오늘 샌드박스 떡상 이유,"트럼프 호재 묻었다던데
이런 호재는 어디서찾냐",465,2,1,"https://in.mt/upbit
땡큐",트럼프
6963606,트럼프 암살당하면 어떡하노?,코인지폐가냐?,62,0,0,,트럼프
6963566,방금 사나이테스트에서 느낀저(feat DoGE),"도지 600원선 존나 단단함 어차피 뭐 물량듀 제한하고
트럼프 정권에서 머스크 기침좀 할테니 올러갈거러 지금
구매하는게 정신건강에 이로움
580원 뭐 이렇게 갔으면 던졋을거 같은데 좀비 맞음
도지 개단단",139,0,0,,트럼프
6963479,속보) 트럼프 비트코인 승인 검토중,"미국 전역에서 사용가능
비트 2천억까지 간다 말했다",189,0,0,,트럼프
6963449,맨날 불장이라는데 돈만 잃는 사람 들어와봐(feat샌박),"난 돈을 잃어본적이 없어
이유는 항상시드의 10프로만 넣고 간좀 보다가 물타고 빠져나오기 때문이야 샌박은 이제 한동안 물려있을거야
그럼 뭐라도 다른데 투자해서라도 돈 벌어야겠지? 난 지금 전부 도지 매수중이야
이건 기회야 샌박도 물렸다 물타서 819원에 익절허고 지금 도지 쌉 매수중이다
난 용돈벌이 느낌으로 하루 7-10만원 꾸준히 벌고 있어
본업은 다른거고 인생 역전까진 아니어도 먹고 싶은거 먹고 돈걱정 없다
몰빵 이지랄 하지말고 지금 대형주 스텔라 도지 리플 이더 비트 이중에서
싼거 사서 버텨라 나락갈땐 개 잡주 알트 부터다
쟤네들은 트럼프 정권동안 다시 오르니까 걱정말고
그냥 기다리면 더ㅐ",273,0,1,,트럼프
6963350,어차피 지금 아무거나사도 오르지않냐,스텔라도 오르겠지또 어차피 트럼프기간인디,66,0,1,,트럼프
6963236,"겐슬러, 사임 취소, 머스크 제치고 트럼프와 손잡아",ㆍ,138,0,0,,트럼프
6963052,코인 3년간 안보고 있었는데 도지 언제 올랐냐?,와 시발 도지 개푼돈됐을때 역시 저딴잡코인이 그렇지 하고있었는데 개떡상했네 미친 트럼프 때문임?,161,2,0,"이 병신새끼는 이제와서 뒷북이고
스텔라 샌박에 따인 호로코인 언급ㄴ",트럼프
6962710,헤데라는 워렌버핏이 사고 국제통화기금 공식화폐로 지정되도 안오를 씨발년임,트럼프가 대놓고 밀어주겠다 하고 팀 쿡이 모든 애플 제품은 헤데라로만 결제가능하다해도  음전 찍을 개씨발년임,191,0,0,,트럼프
6962359,실시간 일론 트위터 트럼프 조롱,트럼프 이용해서 화성 점령ㅋㅋㅋㅋㅋㅋ,234,2,1,"트럼프 시발련 도지박은이유가있었노
ㄹㅇ ㅋㅋㅋㅋ",트럼프
